rank,entity type ,frequency
director,OTHER(ARG),263
mowers ,PERSON ,266
wildstein,PERSON,5785
fort lee,GPE,4729
kelly,PERSON,4284
baroni,PERSON,3818
new jersey,GPE,3338
stepien,PERSON,2718
sokolich,PERSON,2496
george washington bridge,FAC,2109
samson,PERSON,2040
chris christie,PERSON,1694
record,ORG,1638
republican,NORP,1419
democrats,NORP,1411
democratic,NORP,1402
david wildstein,PERSON,1375
mastro,PERSON,1328
gwb,PERSON,1299
bridget anne kelly,PERSON,1135
wisniewski,PERSON,1071
zimmer,PERSON,1042
bill baroni,PERSON,958
governor,OTHER(ARG),893
new york,GPE,880
bridgegate,PERSON,874
u,ORG,851
people,OTHER(ARG),834
fishman,PERSON,779
foye,PERSON,741
closures,OTHER(ARG),738
mark sokolich,PERSON,735
democrat,NORP,735
authority,ORG,692
critchley,PERSON,685
hoboken,GPE,676
report,ORG,676
office,ORG,672
republicans,NORP,663
documents,OTHER(ARG),651
trump,PERSON,638
north jersey media group,ORG,628
weinberg,PERSON,600
newark,GPE,582
prosecutors,OTHER(ARG),544
committee,ORG,540
drewniak,PERSON,537
gibson dunn,PERSON,532
time,ORG,523
bill stepien,PERSON,519
officials,OTHER(ARG),514
scandal,OTHER(ARG),500
john wisniewski,PERSON,459
sandy,PERSON,454
david samson,PERSON,447
email,OTHER(ARG),447
gop,ORG,447
senate,ORG,444
u attorney office,ORG,440
giuliani,PERSON,435
mayor,OTHER(ARG),431
investigation,OTHER(ARG),430
michaels,PERSON,426
trenton,GPE,426
state,ORG,417
attorney,OTHER(ARG),412
nixon,PERSON,409
agency,OTHER(ARG),404
n j,GPE,404
firm,OTHER(ARG),403
renna,PERSON,393
odowd,PERSON,375
administration,ORG,371
superstorm sandy,EVENT,371
loretta weinberg,PERSON,343
bridget kelly,PERSON,333
obama,PERSON,333
chief,OTHER(ARG),330
legislature,ORG,323
randy mastro,PERSON,320
assembly,ORG,320
wigenton,PERSON,313
questions,OTHER(ARG),311
bridge,FAC,305
emails,OTHER(ARG),303
barbara buono,PERSON,300
guadagno,PERSON,298
baldassare,PERSON,298
lanes,OTHER(ARG),295
gibson,PERSON,292
nj transit,ORG,290
attorneys,OTHER(ARG),290
teaneck,PERSON,283
campaign,OTHER(ARG),273
information,OTHER(ARG),273
fifth amendment,LAW,272
dawn zimmer,PERSON,269
jersey,GPE,267
port authority,ORG,7366
christie,PERSON ,23925
